subsection,shore_height,shore_height_wall,wall_height,div,length
132,1.9,1.836877867,0,16,100
133,2.065866688,2.065866688,0,16,100
134,2.374465621,2.374465621,0,16,100
135,2.016973516,2.016973516,0,16,100
136,2.290643787,2.290643787,0,17,100
137,2.218006139,2.218006139,0,17,100
138,2.56356868,2.56356868,0,17,100
139,2.545882764,2.545882764,0,17,100
140,2.88097222,2.88097222,0,17,100
141,1.9,1.844912726,0,17,100
142,1.920063882,1.920063882,0,17,100
143,2.614127312,2.614127312,0,17,100
144,1.90356979,1.90356979,0,17,100
